prid,proceedingid,title,subtitle,proc_desc,con_city,con_state,con_country,con_start_date,con_end_date,publication_date,puid
22198,1186554,,,ACM SIGGRAPH 2004 Panels,Los Angeles,California,,2004-08-08,2004-08-12,2004-08-08,1545
22308,1877868,Analysis and retrieval of tracked events and motion in imagery streams,,Proceedings of the first ACM international workshop,Firenze,,Italy,2010-10-29,2010-10-29,2010-10-29,1545
22626,2652524,Empirical Software Engineering and Measurement,,Proceedings of the 8th ACM/IEEE International Symposium,Torino,,Italy,2014-09-18,2014-09-19,2014-09-18,1545
22828,2557547,Data and application security and privacy,,Proceedings of the 4th ACM conference,San Antonio,Texas,USA,2014-03-03,2014-03-05,2014-03-03,1545
22861,351397,Dynamic and adaptive compilation and optimization,,Proceedings of the ACM SIGPLAN workshop,,,,,,2000-01-01,1545
22934,212433,Principles of database systems,,Proceedings of the fourteenth ACM SIGACT-SIGMOD-SIGART symposium,San Jose,California,USA,1995-05-22,1995-05-25,1995-05-22,1545
22965,2046631,Digital rights management,,Proceedings of the 11th annual ACM workshop,Chicago,Illinois,USA,2011-10-21,2011-10-21,2011-10-21,1545
23122,2676585,Information and Communication Technology,,Proceedings of the Fifth Symposium,Hanoi,,Viet Nam,2014-12-04,2014-12-05,2014-12-04,1545
23519,1747491,,,Proceedings of the 2009 IEEE/ACM International Conference on Automated Software Engineering,,,,2009-11-16,2009-11-20,2009-11-16,3039
23547,2691136,HPC User Support Tools,,Proceedings of the First International Workshop,New Orleans,Louisiana,,2014-11-16,2014-11-21,2014-11-16,4124
23674,947185,Hardware/software co-design,,Proceedings of the 3rd international workshop,Grenoble,,France,1994-09-22,1994-09-24,1994-09-22,2678
23763,1023783, wireless access protocols,,Proceedings of the second international workshop,Philadelphia,PA,USA,2004-10-01,2004-10-01,2004-10-01,1545
23868,2559184,Intelligent User Interfaces,,Proceedings of the companion publication of the 19th international conference,Haifa,,Israel,2014-02-24,2014-02-27,2014-02-24,1545
24194,365411,Discrete algorithms,,Proceedings of the twelfth annual ACM-SIAM symposium,Washington,D.C.,USA,2001-01-07,2001-01-09,2001-01-09,16397
24255,1878151,Social media,,Proceedings of second ACM SIGMM workshop,Firenze,,Italy,2010-10-25,2010-10-25,2010-10-25,1545
24447,2407603,,,SIGGRAPH Asia 2012 Computer Animation Festival,Singapore,,Singapore,2012-11-28,2012-12-01,2012-11-28,1545
24816,1743384,Multimedia information retrieval,,Proceedings of the international conference,Philadelphia,Pennsylvania,USA,2010-03-29,2010-03-31,2010-03-29,1545
24880,2517881,Digital identity management,,Proceedings of the 2013 ACM workshop,Berlin,,Germany,2013-11-08,2013-11-08,2013-11-08,1545
24927,1162654,Challenged networks,,Proceedings of the 2006 SIGCOMM workshop,Pisa,,Italy,2006-09-11,2006-09-15,2006-09-11,1545
25302,2556195,Web search and data mining,,Proceedings of the 7th ACM international conference,New York,New York,USA,2014-02-24,2014-02-28,2014-02-24,1545
25517,305138,Supercomputing,,Proceedings of the 13th international conference,Rhodes,,Greece,1999-06-20,1999-06-25,1999-06-20,1545
25564,1278240,Emerging displays technologies,images and beyond: the future of displays and interacton,Proceedings of the 2007 workshop,San Diego,California,USA,2007-08-04,2007-08-04,2007-08-04,1545
25891,1048935,Supercomputing,,Proceedings of the 2003 ACM/IEEE conference,Phoenix,AZ,USA,2003-11-15,2003-11-21,2003-11-15,1545
26021,2517840,Workshop on privacy in the electronic society,,Proceedings of the 12th ACM workshop,Berlin,,Germany,2013-11-04,2013-11-04,2013-11-04,1545
26066,644527,Privacy in the Electronic Society,,Proceedings of the 2002 ACM workshop,Washington,DC,,2002-11-21,2002-11-21,2002-11-21,1545
26086,1566966,Middleware-Application Interaction,,Proceedings of the 3rd International DiscCoTec Workshop,Lisbon,,Portugal,2009-06-12,2009-06-12,2009-06-12,1545
26374,170035,Management of data,,Proceedings of the 1993 ACM SIGMOD international conference,Washington,D.C.,USA,1993-05-25,1993-05-28,1993-06-01,1545
26848,1523103,"Advances in Computing, Communication and Control",,Proceedings of the International Conference,Mumbai,,India,2009-01-23,2009-01-24,2009-01-23,1545
27079,1629435,Hardware/software codesign and system synthesis,,Proceedings of the 7th IEEE/ACM international conference,Grenoble,,France,2009-10-11,2009-10-16,2009-10-11,1545
27148,582095,Management of data,,Proceedings of the 1979 ACM SIGMOD international conference,Boston,Massachusetts,,1979-05-30,1979-06-01,1979-05-30,1545
27244,1037210,Computer Graphics,,Proceedings of the 20th Spring Conference,Budmerice,,Slovakia,2004-04-22,2004-04-24,2004-04-22,1545
27343,1370256,,,Proceedings of the 2008 C,Montreal,Quebec,Canada,2008-05-12,2008-05-13,2008-05-12,1545
27429,2753488,Do-it-yourself Networking: an Interdisciplinary Approach,,Proceedings of the 2015 Workshop,Florence,,Italy,2015-05-18,2015-05-18,2015-05-18,1545
27628,258533,Theory of computing,,Proceedings of the twenty-ninth annual ACM symposium,El Paso,Texas,USA,1997-05-04,1997-05-06,1997-05-04,1545
27799,2670979,Cloud Computing,,Proceedings of the ACM Symposium,Seattle,WA,USA,2014-11-03,2014-11-05,2014-11-03,1545
27945,319195,Support for composing distributed applications,,Proceedings of the 8th ACM SIGOPS European workshop,Sintra,,Portugal,,,1998-09-07,1545
27979,944747,Network-I/O convergence,"experience, lessons, implications",Proceedings of the ACM SIGCOMM workshop,Karlsruhe,,Germany,2003-08-25,2003-08-27,2003-08-25,1545
28037,584458,Computer Graphics,,Proceedings of the 18th Spring Conference,Budmerice,,Slovakia,2002-04-24,2002-04-27,2002-04-24,1545
28093,1434790,Java technologies for real-time and embedded systems,,Proceedings of the 6th international workshop,Santa Clara,California,USA,2008-09-24,2008-09-26,2008-09-24,1545
28136,2457392,Aspect-oriented software development,,Proceedings of the 12th annual international conference companion,Fukuoka,,Japan,2013-03-24,2013-03-29,2013-03-24,1545
28234,36206,Architectual support for programming languages and operating systems,,Proceedings of the second international conference,Palo Alto,California,USA,,,1987-10-01,2678
28566,1255047,Advances in computer entertainment technology,,Proceedings of the international conference,Salzburg,,Austria,2007-06-13,2007-06-15,2007-06-13,1545
28599,2542142,Virtual machines and intermediate languages,,Proceedings of the 7th ACM workshop,Indianapolis,Indiana,USA,2013-10-28,2013-10-28,2013-10-28,1545
28744,1460690,,,"Papers presented at the May 9-11, 1961, western joint IRE-AIEE-ACM computer conference",Los Angeles,California,,1961-05-09,1961-05-11,1961-05-09,1545
29775,2370216,Ubiquitous Computing,,Proceedings of the 2012 ACM Conference,Pittsburgh,Pennsylvania,,2012-09-05,2012-09-08,2012-09-05,1545
29970,2414456,"Information, Computer and Communications Security",,Proceedings of the 7th ACM Symposium,Seoul,,Korea,2012-05-02,2012-05-04,2012-05-02,1545
30019,1272680,Grid monitoring,,Proceedings of the 2007 workshop,Monterey,California,USA,2007-06-25,2007-06-25,2007-06-25,1545
30053,2517872,Language support for privacy-enhancing technologies,,Proceedings of the First ACM workshop,Berlin,,Germany,2013-11-04,2013-11-04,2013-11-04,1545
30454,1094855,"Object-oriented programming, systems, languages, and applications",,Companion to the 20th annual ACM SIGPLAN conference,San Diego,CA,USA,2005-10-16,2005-10-20,2005-10-16,1545
30587,2491568,Pervasive Displays,,Proceedings of the 2nd ACM International Symposium,Mountain View,California,,2013-06-04,2013-06-05,2013-06-04,1545
30781,949845,Visualization '93,,Proceedings of the 4th conference,San Jose,California,,1993-10-25,1993-10-29,1993-10-25,3039
30863,93025,Computational learning theory,,Proceedings of the first annual workshop,"MIT, Cambridge",Massachusetts,USA,1988-08-03,1988-08-05,1988-12-01,30864
31012,774861,Microarchitecture,,Proceedings of the 35th annual ACM/IEEE international symposium,Istanbul,,Turkey,2002-11-18,2002-11-22,2002-11-18,2678
31066,2716282,General Purpose Processing using GPUs,,Proceedings of the 8th Workshop,San Francisco,CA,USA,2015-02-07,2015-02-07,2015-02-07,1545
31349,2254129,"Web Intelligence, Mining and Semantics",,Proceedings of the 2nd International Conference,Craiova,,Romania,2012-06-13,2012-06-15,2012-06-13,1545
31428,1161039,Underwater networks,,Proceedings of the 1st ACM international workshop,Los Angeles,CA,USA,2006-09-25,2006-09-25,2006-09-25,1545
31515,75246, protocols,,Symposium proceedings,Austin,Texas,USA,1989-09-25,1989-09-27,1989-08-01,1545
31604,582192,Management of data,,Proceedings of the 1983 ACM SIGMOD international conference,San Jose,California,,1983-05-23,1983-05-26,1983-05-23,1545
31754,1658939,Emerging networking experiments and technologies,,Proceedings of the 5th international conference,Rome,,Italy,2009-12-01,2009-12-04,2009-12-01,1545
32241,2628363, services,,Proceedings of the 16th international conference,Toronto,ON,Canada,2014-09-23,2014-09-26,2014-09-23,1545
33160,2463209,,,Proceedings of the 50th Annual Design Automation Conference,Austin,Texas,,2013-05-29,2013-06-07,2013-05-29,1545
33421,2223856,,,Proceedings of the 2012 IEEE/ACM Third International Conference on Cyber-Physical Systems,,,,2012-04-17,2012-04-19,2012-04-17,3039
33611,2597917,Computing Frontiers,,Proceedings of the 11th ACM Conference,Cagliari,,Italy,2014-05-20,2014-05-22,2014-05-20,1545
33740,317456,Human Factors in Computing Systems,,Proceedings of the SIGCHI Conference,San Francisco,California,USA,,,1985-04-01,1545
33852,354324,Assistive technologies,,Proceedings of the fourth international ACM conference,Arlington,Virginia,USA,2000-11-13,2000-11-15,2000-11-13,1545
33883,2744210,Cloud Data and Platforms,,Proceedings of the 5th International Workshop,Bordeaux,,France,2015-04-21,2015-04-24,2015-04-21,1545
34003,2522628,Games,,Proceedings of Motion,Dublin 2,,Ireland,2013-11-06,2013-11-08,2013-11-06,1545
34159,2362456,Knowledge Management and Knowledge Technologies,,Proceedings of the 12th International Conference,Graz,,Austria,2012-09-05,2012-09-07,2012-09-05,1545
34478,2594291,Programming Language Design and Implementation,,Proceedings of the 35th ACM SIGPLAN Conference,Edinburgh,,United Kingdom,2014-06-09,2014-06-11,2014-06-09,1545
34557,1083142,Mining software repositories,,Proceedings of the 2005 international workshop,St. Louis,Missouri,,2005-05-17,2005-05-17,2005-05-17,1545
34619,1295074,Software quality assurance,in conjunction with the 6th ESEC/FSE joint meeting,Fourth international workshop,Dubrovnik,,Croatia,2007-09-03,2007-09-04,2007-09-03,1545
34753,2388576,Security of Information and Networks,,Proceedings of the Fifth International Conference,Jaipur,,India,2012-10-25,2012-10-27,2012-10-25,1545
34854,1251229, Implementation,,Proceedings of the 4th conference,San Diego,California,,2000-10-22,2000-10-25,2000-10-22,34855
35355,1555400,Digital libraries,,Proceedings of the 9th ACM/IEEE-CS joint conference,Austin,TX,USA,2009-06-15,2009-06-19,2009-06-15,1545
35447,1536274,Computing Education,,Proceedings of the 14th Western Canadian Conference,Burnaby,British Columbia,Canada,2009-05-01,2009-05-02,2009-05-01,1545
35532,2503673,,,ACM SIGGRAPH 2013 Studio Talks,Anaheim,California,,2013-07-21,2013-07-25,2013-07-21,1545
35697,800254,Software engineering,,Proceedings of the 6th international conference,Tokyo,,Japan,1982-09-13,1982-09-16,1982-09-13,2678
35735,2752489,Automotive Software Architecture,,Proceedings of the First International Workshop,Montr&#233;al,QC,Canada,2015-05-04,2015-05-04,2015-05-04,1545
35742,512249,Model curriculum and guidelines for undergraduate degree programs in information systems,,Guidelines for undergraduate degree programs,,,,1997-12-31,,1997-12-31,1545
35779,1238828,Middleware-application interaction,in conjunction with Euro-Sys 2007,Proceedings of the 1st workshop,Lisbon,,Portugal,2007-03-20,2007-03-20,2007-03-20,1545
35881,2619955,Nanoscale Computing and Communication,,Proceedings of ACM The First Annual International Conference,Atlanta,GA,USA,2014-05-06,2014-05-09,2014-05-06,1545
36183,1322263,Embedded networked sensor systems,,Proceedings of the 5th international conference,Sydney,,Australia,2007-11-06,2007-11-09,2007-11-06,1545
36591,1140124,Innovation and technology in computer science education,,Proceedings of the 11th annual SIGCSE conference,Bologna,,Italy,2006-06-26,2006-06-28,2006-06-26,1545
36666,1138486,Service-oriented software engineering,,Proceedings of the 2006 international workshop,Shanghai,,China,2006-05-27,2006-05-28,2006-05-27,1545
36808,2348144,,"Exploratory Papers, Workshop Descriptions, Industry Cases",Proceedings of the 12th Participatory Design Conference,Roskilde,,Denmark,2012-08-12,2012-08-16,2012-08-12,1545
36914,336154,Computational geometry,,Proceedings of the sixteenth annual symposium,Clear Water Bay,Kowloon,Hong Kong,2000-06-12,2000-06-14,2000-05-01,1545
37037,2732587,Data Sciences,,Proceedings of the Second ACM IKDD Conference,Bangalore,,India,2015-03-18,2015-03-21,2015-03-18,1545
